block,key1,key2,key3,value,note
META,,,report,BC_check,"Bolometric-correction audit of the census amplitude chain. Stages A-B only: Stage C (provisional per-band repricing) DID NOT RUN because the repo grid carries no synthetic photometry."
META,,,verification_run,2026-08-05,"chain facts and grid rows re-derived independently from the files; prior BC-check output was not used as input"
META,,,repo,qpls-observability,"branch master, HEAD 1ab8092"
META,,,scope,read-only,"no frozen pipeline module edited; no figure produced; no new analysis module created (nothing to host once Stage C was ruled out)"
VERDICT,,,photometry,ABSENT,"MIST v1.2 basic/theoretical flavor only: 25 columns, no band magnitude columns, in both isochrone files. Repo-wide sweep for *.cmd / ugriz / UBVRI / SDSS / PanSTARRS / PS1 / Gaia / 2MASS / phot returned zero hits. Stage C cannot run honestly."
VERDICT,,,flaw_status,CONFIRMED-UNPRICED,"The grey (bolometric) treatment is confirmed present and load-bearing at qpls/populations.py:288-289. Its magnitude in optical bands remains UNQUANTIFIED: no grid BCs available, and no literature BC was substituted."
VERDICT,,,direction,amplitudes_overstated,"BC_X = M_X - M_bol < 0 for M giants, so r0_X = r0_bol * 10**(0.4*BC_X) < r0_bol. Every optical amplitude and every dust-robustness margin in the frozen census is an upper bound. Sign is certain; size is not."
A1,step1,,anchors_L_R,CONFIRMED,"qpls/source_scenarios.py:74-100 SOURCE_LIBRARY. Verbatim: RGBiso(2199.0,137.5) AGB170(2688.763996139983,170.1963493780872) AGB215(3683.890372263349,214.97406799964722) AGB260(4709.267690147197,260.51159521815595) AGBiso(6027.09,300.744) BSG at :97-98 (1.0e5,20.0). Citation accurate."
A1,step2,,magnitude_chain,CONFIRMED,"qpls/populations.py:288-289 inside delta_m_of_L (:284-291): m_unlensed = M_BOL_SUN - 2.5*log10(L) + DM ; m_lensed = m_unlensed - 2.5*log10(mu) + A_V. Citation accurate. A_V is added to the SOURCE only; the nucleus is not reddened."
A1,step2,,m_nuc_convention,CONFIRMED,"m_nuc default 19.0 at qpls/populations.py:281 (M_NUC), used as the default argument at :284; grid axis qpls/source_scenarios.py:104 M_NUC_GRID=[19.0]. Fixed apparent magnitude, no band label anywhere. Aperture caveat stated at source_scenarios.py:112."
A1,step2,,bolometric_declared,CONFIRMED,"The simplification is declared in-repo, not hidden: qpls/source_scenarios.py:25 'Bolometric magnitudes, no K-correction, no bandpass or bolometric correction'; qpls/source_amplitude.py:118 'NOTE (ASSUMED): bolometric proxy'; :180; :264-265."
A1,step3,,mu_peak,CONFIRMED,"MU_CUSP_PEAK_NORM = 1.8e6 at qpls/source_amplitude.py:66; mu_cusp_peak() at :168-176 returns 1.8e6*(M/2e10)**0.44*(R/10)**-0.64. Citation accurate. Flagged in-repo as FAVOURABLE-CASE PEAK with eccentricity and D_LS held at the paper fiducial."
A1,step4,,contrast_and_amplitude,CONFIRMED,"qpls/populations.py:290-291: f = 10**(-0.4*(m_lensed - m_nuc)) ; return 2.5*log10(1+f). This is r0 and dm0 = 2.5*log10(1+r0) as stated."
A1,step5,,census_test,CONFIRMED-IN-SUBSTANCE-LINE-CITATION-STALE,"The radius rule is NOT a literal 'R >= 214.97' comparison. It is enforced by the floor function returning inf below the smallest radius with a MEASURED finite floor, at qpls/n_exp.py:140-143 (closure f: 'np.where(R < r_min, np.inf, out)'), where r_min = 214.97406799964722 because AGB215 is the smallest anchor with a finite global_max floor. The amplitude test dm >= floor(R(L)) lives at qpls/n_exp.py:158-161 inside L_min_self_consistent (:149-177), NOT at :140-143. The prompt's single citation covers the radius half only."
A1,step5,,conservatism,NOTED,"qpls/n_exp.py:130-139 states the rule explicitly as conservative: radii below the smallest measured-finite-floor anchor are treated as undetectable rather than extrapolated, so v3 N_zone is a strict LOWER BOUND. This is the opposite-signed bias to the BC flaw and does not cancel it - the two act on different axes (radius coverage vs optical flux)."
A1,floors,,frozen_values,CONFIRMED,"results/Post-MS_giant_results/qpls_radius_scan_floors.csv, detector=global_max: RGBiso none, AGB170 none, AGB215 0.203117, AGB260 0.117309, AGBiso 0.096628. Matches the reference numbers exactly. BSG has no row in this file - it is not an anchor of the radius scan."
A1,r0_check,,recomputed_DL0.1_A0,CONFIRMED,"Independently recomputed at DM = 35.00, m_nuc = 19, M_total = 2e10, using each source's STORED R: RGBiso 3.74097, AGB170 3.99041, AGB215 4.70817, AGB260 5.32227, AGBiso 6.21347, BSG 584.270. Matches the reference numbers (3.741 / 3.9904 / 4.7082 / 5.3223 / 6.2135 / 584.27) to all quoted digits."
A1,dm0_check,,recomputed_DL0.1_A0,CONFIRMED,"dm0 = 2.5*log10(1+r0): RGBiso 1.68967, AGB170 1.74534, AGB215 1.89124, AGB260 2.00218, AGBiso 2.14536, BSG 6.91839 mag."
A1,extinction_law,,form_in_use,CONFIRMED,"A enters as +A_V on m_lensed (qpls/populations.py:289), which is algebraically r(A) = r0*10**(-0.4A) then dm(A) = 2.5*log10(1+r(A)) - the exact law, not dm0 - A. qpls/extinction_budget.py:63-64 states A is treated as in-band extinction numerically equal to A_V with no band conversion applied."
A2,,,M_BOL_SUN,4.74,"qpls/source_amplitude.py:48, comment 'IAU 2015 solar bolometric absolute magnitude (ASSUMED ref const)'. Imported by qpls/populations.py:43 and qpls/source_scenarios.py:56. Single definition; no shadowing literal found anywhere in qpls/. source_amplitude.py:50-53 records that an earlier 4.83 was unified to 4.74."
A3,m_nuc,,band_assumption,NONE,"m_nuc = 19.0 is a bare apparent magnitude with no filter attached in any module (qpls/populations.py:281; qpls/source_scenarios.py:104; qpls/mass_scaling.py:97; qpls/n_exp.py:37 import). Grey selection convention confirmed. Consequence: whichever band a repricing adopts, m_nuc = 19 must be RE-INTERPRETED as that band's nuclear magnitude - it is a per-band selection convention, not a transferable number."
A3,noise,,band_assumption,NONE,"qpls/detector_comparison.py:42-50 CFG: err_med=0.02, sf_inf_quiescent=0.02, tau_drw_days=200.0, baseline_yr=5.0, cadence_days=3.0, season_frac=0.66, fwhm_days=4.0. All fixed dimensionless-magnitude constants; no bandpass, no colour term, no wavelength dependence. Consumed by qpls/statistic_v3.py:89-90,105-109."
A3,noise,,band_adjacent_hint,ztf_cadence,"qpls/injection_recovery.py:32-40 the sampling function is NAMED ztf_cadence (ZTF observes g and r), but it only sets epochs and a per-epoch sigma from err_med. No ZTF filter response, zero point, or depth is used. Naming only - not a band assumption, and not a defence of one either."
A3,extinction,,band_assumption,NONE-BY-DESIGN,"qpls/source_scenarios.py:20 'A_V is applied as a pure screen directly in the observing band -- no extinction law, no wavelength term'; :612 repeats this at runtime. This is a SECOND grey approximation, distinct from the BC flaw: a genuine per-band census-vs-A curve also needs A_X/A_V, which the repo does not have."
